AdSense Earnings Month,Channel ID,Revenue Source,Local Currency,Total Revenue By Source,US Sourced Revenue,Tax Withholding Rate,Tax Withheld Amount
202301,UChgRMQRcW2J0Wbey3ap5Qtg,Ads Revenue,HKD,1255.149251,17.272975,15.00,2.590946
202301,UChgRMQRcW2J0Wbey3ap5Qtg,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.230927,0.034951,15.00,0.005243
202301,UCi0_ZONqeBQP8-_rxH8qr2A,Ads Revenue,HKD,4.90335,0.033904,24.00,1.176804
202301,UCi0_ZONqeBQP8-_rxH8qr2A,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.000179,0,24.00,0.000043
202301,UCi3WjI9fTp4Zd1rthPUhk6w,Ads Revenue,HKD,31.642408,0.804864,15.00,0.12073
202301,UCi3WjI9fTp4Zd1rthPUhk6w,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.018772,0.002056,15.00,0.000308
202301,UCi3lrVWCHQN5ndKbkUxTLkQ,Ads Revenue,HKD,3.145215,0.05536,24.00,0.754852
202301,UCi3lrVWCHQN5ndKbkUxTLkQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.000827,0,24.00,0.000198
202301,UCiYeXXvmvKZYuLyWI2FAklw,Ads Revenue,HKD,88.715888,5.039929,15.00,0.755989
202301,UCiYeXXvmvKZYuLyWI2FAklw,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,2.229286,0.53778,15.00,0.080667
202301,UCitVUFV5LUYHata-IBuakdA,Ads Revenue,HKD,112.234888,7.069689,15.00,1.060453
202301,UCitVUFV5LUYHata-IBuakdA,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,2.283218,0.182805,15.00,0.027421
202301,UCixNOpfpPDw5tPZiEi1hriQ,Ads Revenue,HKD,30.373528,0.150122,15.00,0.022518
202301,UCixNOpfpPDw5tPZiEi1hriQ,Subscriptions Revenue - YouTube Premium / Music Premium,HKD,0.056421,0.016224,15.00,0.002434
202301,UCj9V4l-HhqBodluN48KVSVQ,Ads Revenue,HKD,48.853164,0.380338,15.00,0.057051
